trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.99}",30,0,-155.41092384785236,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.98}",25,0,-54.39300643415849,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.3, 'e': 0.97}",20,2,-72.99889869659552,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
4,False,"{'a': 0.3, 'e': 0.96}",20,0,-59.0578033578971,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.3, 'e': 0.95}",25,0,-153.38836035445232,"{0: 11, 1: 5, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.94}",35,0,-161.1769846303386,"{0: 23, 1: 1, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.9299999999999999}",25,0,-155.3715081046071,"{0: 10, 1: 3, 2: 9, 3: 3, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.9199999999999999}",25,0,-174.85410174658037,"{0: 12, 1: 5, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.3, 'e': 0.9099999999999999}",25,0,-125.64154894902208,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.3, 'e': 0.8999999999999999}",30,0,-163.35931799509996,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.3, 'e': 0.8899999999999999}",25,0,-175.07343765955108,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
12,False,"{'a': 0.3, 'e': 0.8799999999999999}",25,0,-90.86769381059837,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.8699999999999999}",20,0,-91.11995138554965,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.3, 'e': 0.8599999999999999}",25,0,-82.2808563472135,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.3, 'e': 0.8499999999999999}",30,0,-208.01932645213503,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
16,False,"{'a': 0.3, 'e': 0.8399999999999999}",25,0,-82.3328102155028,"{0: 12, 1: 8, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.8299999999999998}",25,0,-166.81703053251803,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
18,False,"{'a': 0.3, 'e': 0.8199999999999998}",35,0,-257.86031332785865,"{0: 20, 1: 2, 2: 5, 3: 5, 4: 3}",0
19,False,"{'a': 0.3, 'e': 0.8099999999999998}",25,0,-154.14603260970935,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
20,False,"{'a': 0.3, 'e': 0.7999999999999998}",20,0,-40.19433054447182,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
21,False,"{'a': 0.3, 'e': 0.7899999999999998}",35,0,-181.92261926727954,"{0: 22, 1: 5, 2: 4, 3: 1, 4: 3}",0
22,False,"{'a': 0.3, 'e': 0.7799999999999998}",20,0,-90.46515002631146,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.3, 'e': 0.7699999999999998}",25,0,-155.80877014635416,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
