trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",25,0,-85.27866008813682,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",30,0,-135.40878820606082,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-72.90728574395378,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-71.64902207040983,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,0,-78.166390166795,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-169.44073567712653,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-108.03104558563508,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-149.92447714061075,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,0,-131.28567743823356,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-103.577120553079,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-57.5620354390304,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",30,0,-91.93417321092635,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-47.18380310972952,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-30.98641835862625,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-24.567358131119093,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-112.95060827101106,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-23.20306147558341,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.8436648165963837}",30,0,-147.5983781539236,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.835270211411272}",30,12,-156.9017912839238,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 4}",1
20,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,0,-158.02634736309875,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-70.7048210170978,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,0,-83.26706717084924,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,0,-43.68303435994351,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.794533602503334}",20,0,-122.12466847982533,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.7866278610665535}",20,0,-117.73659164959822,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,0,-76.36297868713861,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.7710515858035663}",30,12,-59.919207175702454,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 1}",1
28,False,"{'a': 0.01, 'e': 0.7633794943368531}",25,0,-82.55719666830444,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.7557837414557255}",25,0,-117.60479011694729,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.7482635675785653}",20,0,-87.57650865376421,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.7408182206817179}",25,0,-69.9571080918493,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.7334469562242892}",35,15,-59.77059174830882,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",1
33,False,"{'a': 0.01, 'e': 0.7261490370736909}",20,0,-120.45944964450973,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.7189237334319262}",20,0,-16.66788502128261,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.7117703227626097}",20,0,-66.06343773502482,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.7046880897187134}",20,0,-83.82069264920183,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.697676326071031}",25,0,-123.10002157356311,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.6907343306373547}",25,9,-32.82093518592891,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.6838614092123558}",20,0,-54.673174337564305,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.6770568744981647}",35,4,-71.19770543094823,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 2}",1
41,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,12,-10.04548403777569,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.01, 'e': 0.6636502501363194}",25,0,-83.4381161261251,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.6570468198150567}",25,19,12.462729856515637,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
